Fecha,Equipo_Local,Equipo_Visitante,Goles_Local,Goles_Visitante,Peso_Local,avg_Córneres_5_Local,avg_Tarjetas_amarillas_5_Local,avg_Faltas_5_Local,avg_Paradas_5_Local,avg_Pases_Pct_5_Local,avg_Pases_Exitosos_5_Local,Peso_Visitante,Resultado_1X2,avg_Pases_Pct_total_Visitante,avg_Remates_a_puerta_5_Visitante,avg_Córneres_5_Visitante,avg_Tarjetas_amarillas_5_Visitante,avg_Faltas_5_Visitante,avg_Paradas_5_Visitante,avg_Pases_Exitosos_5_Visitante,diff_avg_Remates_a_puerta_5,diff_avg_Córneres_5,diff_avg_Tarjetas_amarillas_5,diff_avg_Faltas_5,diff_avg_Paradas_5,diff_avg_Pases_Pct_5,diff_avg_Ptos_5,diff_Puntos,Prob_Implicita_ELO,diff_Tier
2021-03-24,Bélgica,Gales,3.0,1.0,1.0,,,,,,,0.8699999999999999,1,,,,,,,,,,,,,,,218.0,0.7781484542191325,-2
2021-03-24,Eslovenia,Croacia,1.0,0.0,0.885,,,,,,,1.0,1,,,,,,,,,,,,,,,-238.0,0.20261368597229626,2
2021-03-24,Estonia,República Checa,2.0,6.0,0.7949999999999999,,,,,,,1.0,2,,,,,,,,,,,,,,,-276.0,0.1695550886467628,0
2021-03-24,Finlandia,Bosnia-Herzegovina,2.0,2.0,0.975,,,,,,,1.0,X,,,,,,,,,,,,,,,1.0,0.5014391117091528,0
2021-03-24,Francia,Ucrania,1.0,1.0,1.0,,,,,,,0.8550000000000001,X,,,,,,,,,,,,,,,234.0,0.7936407431881689,-2
2021-03-24,Gibraltar,Noruega,0.0,3.0,0.8949999999999999,,,,,,,1.0,2,,,,,,,,,,,,,,,-562.0,0.03786483661488681,0
2021-03-24,Portugal,Azerbaiyán,1.0,0.0,1.0,,,,,,,0.93,1,,,,,,,,,,,,,,,482.0,0.94128855387098,-2
2021-03-24,Turquía,Países Bajos,4.0,2.0,1.0,,,,,,,1.0,1,,,,,,,,,,,,,,,-122.0,0.33130504369266833,2
2021-03-25,Alemania,Islandia,3.0,0.0,1.0,,,,,,,0.8800000000000001,1,,,,,,,,,,,,,,,172.0,0.7291099628977525,-2
2021-03-25,Escocia,Austria,2.0,2.0,1.0,,,,,,,1.0,X,,,,,,,,,,,,,,,-95.0,0.3665922999288324,1
2021-03-25,España,Grecia,1.0,1.0,1.0,,,,,,,0.86,X,,,,,,,,,,,,,,,232.0,0.7917488375081845,-2
2021-03-25,Inglaterra,San Marino,5.0,0.0,1.0,,,,,,,0.8550000000000001,1,,,,,,,,,,,,,,,860.0,0.9929703085603608,-2
2021-03-25,Bulgaria,Suiza,1.0,3.0,0.8550000000000001,,,,,,,1.0,2,,,,,,,,,,,,,,,-243.0,0.19800335588556686,1
2021-03-25,Suecia,Georgia,1.0,0.0,1.0,,,,,,,0.96,1,,,,,,,,,,,,,,,291.0,0.8422586724704255,-1
2021-03-27,Serbia,Portugal,2.0,2.0,0.96,,,,,,,1.0,X,0.88,14.0,10.0,1.0,9.0,0.0,665.0,,,,,,,,-170.0,0.27316992772326887,2
2021-03-27,Croacia,Chipre,1.0,0.0,1.0,4.0,5.0,15.0,1.0,0.89,626.0,0.96,1,,,,,,,,,,,,,,,393.0,0.9057053735432374,-2
2021-03-27,Noruega,Turquía,0.0,3.0,1.0,14.0,1.0,16.0,0.0,0.89,695.0,1.0,2,0.81,6.0,4.0,5.0,18.0,7.0,237.0,7.0,10.0,-4.0,-2.0,-7.0,0.07999999999999996,0.0,-37.0,0.4469531048305375,0
2021-03-27,Países Bajos,Letonia,2.0,0.0,1.0,11.0,1.0,11.0,2.0,0.88,520.0,0.8899999999999999,1,,,,,,,,,,,,,,,527.0,0.9540716351028596,-2
2021-03-27,República Checa,Bélgica,1.0,1.0,1.0,6.0,1.9,14.0,1.0,0.9,658.0,1.0,X,0.91,4.0,4.0,1.0,12.0,0.0,814.0,4.0,2.0,0.8999999999999999,2.0,1.0,-0.010000000000000009,0.0,-324.0,0.13411041754495612,3
2021-03-28,Austria,Islas Feroe,3.0,1.0,1.0,2.0,3.0,16.0,2.0,0.84,501.0,0.9199999999999999,1,,,,,,,,,,,,,,,348.0,0.8811377835536983,-1
2021-03-28,Israel,Escocia,1.0,1.0,1.0,,,,,,,1.0,X,0.79,4.0,6.0,4.0,14.0,3.0,327.0,,,,,,,,-157.0,0.2882774756572447,0
2021-03-28,Kosovo,Suecia,0.0,3.0,0.8550000000000001,,,,,,,1.0,2,0.85,4.0,4.0,3.0,19.0,3.0,463.0,,,,,,,,-403.0,0.08949191595077233,1
2021-03-28,Rumanía,Alemania,0.0,1.0,0.9349999999999999,,,,,,,1.0,2,0.94,5.0,3.0,1.0,8.0,2.0,988.0,,,,,,,,-144.0,0.3038712295704002,2
2021-03-28,Suiza,Lituania,1.0,0.0,1.0,7.0,1.0,19.0,1.0,0.85,546.0,0.82,1,,,,,,,,,,,,,,,479.0,0.9403268663710864,-1
2021-03-28,Georgia,España,1.0,2.0,0.96,2.0,1.0,9.0,3.0,0.85,382.0,1.0,2,0.92,2.0,3.0,1.0,15.0,0.0,867.0,1.0,-1.0,0.0,-6.0,3.0,-0.07000000000000006,-1.0,-378.0,0.10193172098897373,2
2021-03-28,Kazajistán,Francia,0.0,2.0,0.9,,,,,,,1.0,2,0.91,3.0,12.0,1.0,17.0,0.0,753.0,,,,,,,,-613.0,0.028506244986206453,3
2021-03-28,Albania,Inglaterra,0.0,2.0,0.8099999999999998,,,,,,,1.0,2,0.94,15.0,7.0,1.0,8.0,0.0,863.0,,,,,,,,-310.0,0.1437479399018495,2
2021-03-30,Bélgica,Bielorrusia,8.0,0.0,1.0,3.5,1.5,12.0,2.0,0.855,634.0,0.9349999999999999,1,,,,,,,,,,,,,,,511.0,0.949862711930845,-3
2021-03-30,Croacia,Malta,3.0,0.0,1.0,5.5,4.0,13.5,1.5,0.865,617.0,0.9550000000000001,1,,,,,,,,,,,,,,,666.0,0.9788306482542872,-2
2021-03-30,Gibraltar,Países Bajos,0.0,7.0,0.89,1.0,3.0,15.0,10.0,0.56,81.0,1.0,2,0.89,9.0,13.5,1.5,8.0,1.5,607.0,-9.0,-12.5,1.5,7.0,8.5,-0.32999999999999996,-1.5,-721.0,0.01551349912523537,2
2021-03-30,Gales,República Checa,1.0,0.0,0.9949999999999999,1.0,0.0,3.0,1.0,0.77,235.0,1.0,1,0.81,6.5,6.5,1.45,13.0,2.0,459.5,-5.5,-5.5,-1.45,-10.0,-1.0,-0.040000000000000036,-2.0,106.0,0.6479830132503057,-1
2021-03-30,Turquía,Letonia,3.0,3.0,1.0,3.5,3.0,15.5,4.0,0.8200000000000001,299.5,0.8399999999999999,X,0.66,1.0,0.0,2.0,11.0,7.0,158.0,3.5,3.5,1.0,4.5,-3.0,0.16000000000000003,3.0,405.0,0.9114417700030158,0
2021-03-30,Arabia Saudí,Palestina,5.0,0.0,0.7,,,,,,,0.72,1,,,,,,,,,,,,,,,147.0,0.6997694032620582,0
2021-03-30,Mongolia,Japón,0.0,14.0,0.6900000000000001,,,,,,,0.7,2,,,,,,,,,,,,,,,-596.0,0.03134505945150395,1
2021-03-30,Luxemburgo,Portugal,1.0,3.0,0.9199999999999999,,,,,,,1.0,2,0.86,8.0,7.0,2.0,9.5,1.5,543.5,,,,,,,,-427.0,0.07885479311008708,2
2021-03-30,Montenegro,Noruega,0.0,1.0,0.9650000000000001,,,,,,,1.0,2,0.885,7.0,10.5,1.5,15.0,0.0,619.5,,,,,,,,-80.0,0.3868631798468569,0
2021-03-31,Austria,Dinamarca,0.0,4.0,1.0,5.5,2.0,13.0,2.5,0.865,526.0,0.9099999999999999,2,,,,,,,,,,,,,,,-83.0,0.38277496909505365,1
2021-03-31,Bosnia-Herzegovina,Francia,0.0,1.0,1.0,7.0,0.0,11.0,5.0,0.86,497.0,1.0,2,0.895,5.5,10.5,1.0,17.0,0.0,686.5,2.5,-3.5,-1.0,-6.0,5.0,-0.03500000000000003,-1.0,-345.0,0.12068284654599212,3
2021-03-31,Escocia,Islas Feroe,4.0,0.0,1.0,5.0,2.5,14.5,2.5,0.825,379.0,0.9550000000000001,1,0.72,4.0,4.0,1.0,7.0,5.0,184.0,-0.5,1.0,1.5,7.5,-2.5,0.10499999999999998,1.0,253.0,0.8109791581199478,0
2021-03-31,Alemania,Macedonia del Norte,1.0,2.0,1.0,4.5,1.0,9.5,2.0,0.9099999999999999,806.0,0.89,2,,,,,,,,,,,,,,,248.0,0.8065275228171078,-2
2021-03-31,Inglaterra,Polonia,2.0,1.0,1.0,6.0,1.5,10.0,0.0,0.9199999999999999,790.5,0.8800000000000001,1,,,,,,,,,,,,,,,111.0,0.654519994382466,-1
2021-03-31,España,Kosovo,3.0,1.0,1.0,4.5,1.5,11.5,0.5,0.915,827.0,0.865,1,0.81,0.0,2.0,6.0,9.0,7.0,353.0,2.5,2.5,-4.5,2.5,-6.5,0.10499999999999998,2.0,490.0,0.9437824521525733,-2
2021-05-28,Japón,Birmania,10.0,0.0,0.7,12.0,1.5,10.0,0.0,0.0,0.0,0.715,1,,,,,,,,,,,,,,,421.0,0.9185996494207047,-1
2021-06-03,India,Catar,0.0,1.0,0.6950000000000001,,,,,,,0.7,2,,,,,,,,,,,,,,,-204.0,0.23607530085516135,0
2021-06-03,Australia,Kuwait,3.0,0.0,0.7,,,,,,,0.72,1,,,,,,,,,,,,,,,400.0,0.9090909090909091,0
2021-06-04,Argentina,Chile,1.0,1.0,0.95,,,,,,,0.9549999999999998,X,,,,,,,,,,,,,,,75.0,0.6062878237854281,-1
2021-06-04,Uruguay,Paraguay,0.0,0.0,0.95,,,,,,,0.95,X,,,,,,,,,,,,,,,163.0,0.718756829898782,-2
2021-06-04,Perú,Colombia,0.0,3.0,0.9099999999999999,,,,,,,0.95,2,,,,,,,,,,,,,,,-89.0,0.3746486066924632,1
2021-06-05,Arabia Saudí,Yemen,3.0,0.0,0.7,7.0,1.0,0.0,2.0,0.86,497.8,0.72,1,,,,,,,,,,,,,,,282.0,0.8352528323139615,0
2021-06-05,Corea del Sur,Turkmenistán,5.0,0.0,0.7,,,,,,,0.72,1,,,,,,,,,,,,,,,358.0,0.8870357268841216,0
2021-06-05,Brasil,Ecuador,2.0,0.0,0.95,,,,,,,0.95,1,,,,,,,,,,,,,,,334.0,0.8724346036357598,-3
2021-06-07,Omán,Catar,0.0,1.0,0.7550000000000001,,,,,,,0.7,2,0.0,10.0,8.0,1.0,5.0,0.0,0.0,,,,,,,,-88.0,0.37599824138233284,0
2021-06-07,Australia,China Taipei,5.0,1.0,0.7,11.0,0.0,14.0,1.0,0.0,0.0,0.6799999999999999,1,,,,,,,,,,,,,,,379.0,0.8985940288909822,0
2021-06-07,Uzbekistán,Singapur,5.0,0.0,0.7,,,,,,,0.7,1,,,,,,,,,,,,,,,263.0,0.8196458144946892,0
2021-06-07,Irán,Bahréin,3.0,0.0,0.7,,,,,,,0.7,1,,,,,,,,,,,,,,,258.0,0.8153518152833006,0
2021-06-07,Japón,Tayikistán,4.0,1.0,0.7,10.0,1.25,11.55,0.5,0.442,305.75,0.72,1,,,,,,,,,,,,,,,358.0,0.8870357268841216,-1
2021-06-08,Ecuador,Perú,1.0,2.0,0.95,3.0,4.0,16.0,5.0,0.0,0.0,0.9499999999999998,2,0.0,2.0,5.0,5.0,13.0,1.0,0.0,-2.0,-2.0,-1.0,3.0,4.0,0.0,0.0,-103.0,0.35596614617770733,1
2021-06-08,Haití,Nicaragua,1.0,0.0,0.75,,,,,,,0.6849999999999999,1,,,,,,,,,,,,,,,230.0,0.7898441797581306,0
2021-06-09,Sri Lanka,Corea del Sur,0.0,5.0,0.71,,,,,,,0.7,2,0.0,16.0,10.0,1.0,15.0,0.0,0.0,,,,,,,,-612.0,0.028666095802417874,0
2021-06-09,Canadá,Surinam,4.0,0.0,0.75,,,,,,,0.71,1,,,,,,,,,,,,,,,259.0,0.8162168965756028,0
2021-06-09,Paraguay,Brasil,0.0,2.0,0.95,3.0,1.0,10.0,2.0,0.0,0.0,0.95,2,0.0,7.0,4.0,2.0,12.0,0.0,0.0,-3.0,-1.0,-1.0,-2.0,2.0,0.0,-2.0,-267.0,0.17697537107826786,3
2021-06-09,Curazao,Guatemala,0.0,0.0,0.75,,,,,,,0.6950000000000001,X,,,,,,,,,,,,,,,194.0,0.7533860777856145,0
2021-06-09,Colombia,Argentina,2.0,2.0,0.95,5.0,3.0,18.0,2.0,0.0,0.0,0.95,X,0.0,7.0,3.0,2.0,17.0,0.0,0.0,-3.0,2.0,1.0,1.0,2.0,0.0,2.0,-41.0,0.44126863067523897,0
2021-06-09,Venezuela,Uruguay,0.0,0.0,0.925,,,,,,,0.95,X,0.0,2.0,1.0,3.0,11.0,4.0,0.0,,,,,,,,-138.0,0.31122643133128686,1
2021-06-09,Panamá,República Dominicana,3.0,0.0,0.75,,,,,,,0.695,1,,,,,,,,,,,,,,,294.0,0.8445395282300351,0
2021-06-11,Kuwait,Jordania,0.0,0.0,0.7250000000000001,5.0,1.0,9.0,3.0,0.0,0.0,0.7,X,,,,,,,,,,,,,,,-186.0,0.25526959313496533,0
2021-06-11,Singapur,Arabia Saudí,0.0,3.0,0.7050000000000001,2.0,3.0,10.0,5.0,0.7539999999999999,278.3,0.7,2,0.43,6.5,7.0,1.0,3.0,2.0,248.9,-6.5,-5.0,2.0,7.0,3.0,0.3239999999999999,-3.0,-333.0,0.1282074219668559,0
2021-06-11,Yemen,Uzbekistán,0.0,1.0,0.725,1.0,3.0,15.0,3.0,0.0,0.0,0.7,2,0.7979999999999999,10.0,6.0,3.0,17.0,0.0,302.9,-8.0,-5.0,0.0,-2.0,3.0,-0.7979999999999999,-3.0,-212.0,0.22787132653141615,0
2021-06-11,Hong Kong,Irak,0.0,1.0,0.6950000000000001,,,,,,,0.7,2,,,,,,,,,,,,,,,-276.0,0.1695550886467628,0
2021-06-11,Nepal,Australia,0.0,3.0,0.6900000000000001,,,,,,,0.7,2,0.43599999999999994,8.0,10.5,0.0,12.5,1.0,258.1,,,,,,,,-489.0,0.05652375065406684,0
2021-06-11,Camboya,Irán,0.0,10.0,0.7,,,,,,,0.7,2,0.8480000000000001,9.0,5.0,1.0,5.0,0.0,425.0,,,,,,,,-532.0,0.04468350937179727,0
2021-06-13,Corea del Sur,Líbano,2.0,1.0,0.7,8.5,1.0,13.0,0.0,0.0,0.0,0.695,1,,,,,,,,,,,,,,,202.0,0.761842109917936,0
2021-06-15,Arabia Saudí,Uzbekistán,3.0,0.0,0.7,7.0,1.3333333333333333,5.666666666666667,1.6666666666666667,0.2866666666666667,165.93333333333334,0.7,1,0.813,8.0,6.0,2.5,16.0,1.5,352.0,-1.666666666666667,1.0,-1.1666666666666667,-10.333333333333332,0.16666666666666674,-0.5263333333333333,0.0,70.0,0.5993967967092568,0
2021-06-15,Japón,Kirguistán,5.0,1.0,0.7,7.666666666666667,1.5,13.366666666666667,0.3333333333333333,0.2946666666666667,203.83333333333334,0.6799999999999999,1,,,,,,,,,,,,,,,262.0,0.8187932901343153,-1
2021-06-15,Australia,Jordania,1.0,0.0,0.7,10.0,0.6,12.333333333333334,0.6666666666666666,0.29066666666666663,172.0666666666667,0.7,1,0.776,0.0,7.0,3.0,7.0,0.0,296.4,9.333333333333334,3.0,-2.4,5.333333333333334,0.6666666666666666,-0.4853333333333334,2.0,214.0,0.7741479777018306,0
2021-06-15,Irán,Irak,1.0,0.0,0.7,8.5,0.5,4.5,0.5,0.8600000000000001,497.25,0.7,1,0.868,2.0,14.0,2.0,12.5,0.0,527.0,13.0,-5.5,-1.5,-8.0,0.5,-0.007999999999999896,0.0,148.0,0.700977398610108,0
