,Fecha,Equipo_Local,Equipo_Visitante,Resultado,Goles_esperados_(xG)_Local,Goles_esperados_(xG)_Visitante,Posesión_Local,Posesión_Visitante,Remates_a_puerta_Local,Remates_a_puerta_Visitante,Córneres_Local,Córneres_Visitante,Pases_Local,Pases_Visitante,Tarjetas_amarillas_Local,Tarjetas_amarillas_Visitante,Faltas_Local,Faltas_Visitante,Paradas_Local,Paradas_Visitante,Puntos_Local,Puntos_Visitante,Peso_Local,Peso_Visitante
3072,2026-06-11,México,Sudáfrica,,,,,,,,,,,,,,,,,,1681.03,1429.73,0.75,0.6
3073,2026-06-12,Corea del Sur,República Checa,,,,,,,,,,,,,,,,,,1588.66,1501.38,0.7,1.0
3074,2026-06-12,Canadá,Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,1556.48,1385.84,0.75,1.0
3075,2026-06-13,EE. UU.,Paraguay,,,,,,,,,,,,,,,,,,1673.13,1503.5,0.75,0.95
3076,2026-06-13,Catar,Suiza,,,,,,,,,,,,,,,,,,1454.96,1649.4,0.7,1.0
3077,2026-06-14,Alemania,Curazao,,,,,,,,,,,,,,,,,,1730.37,1294.65,1.0,0.75
3078,2026-06-14,Australia,Turquía,,,,,,,,,,,,,,,,,,1580.67,1599.04,0.7,1.0
3079,2026-06-14,Países Bajos,Japón,,,,,,,,,,,,,,,,,,1757.87,1660.43,1.0,0.7
3080,2026-06-14,Brasil,Marruecos,,,,,,,,,,,,,,,,,,1761.16,1755.87,0.95,0.6
3081,2026-06-14,Haití,Escocia,,,,,,,,,,,,,,,,,,1291.71,1498.35,0.75,1.0
3082,2026-06-15,Bélgica,Egipto,,,,,,,,,,,,,,,,,,1734.71,1563.24,1.0,0.6
3083,2026-06-15,España,Cabo Verde,,,,,,,,,,,,,,,,,,1876.4,1366.13,1.0,0.6
3084,2026-06-15,Suecia,Túnez,,,,,,,,,,,,,,,,,,1514.77,1483.05,1.0,0.6
3085,2026-06-15,Costa de Marfil,Ecuador,,,,,,,,,,,,,,,,,,1532.98,1594.78,0.6,0.95
3086,2026-06-16,Arabia Saudí,Uruguay,,,,,,,,,,,,,,,,,,1421.43,1673.07,0.7,0.95
3087,2026-06-16,Irán,Nueva Zelanda,,,,,,,,,,,,,,,,,,1615.3,1281.57,0.7,0.7
3088,2026-06-16,Francia,Senegal,,,,,,,,,,,,,,,,,,1877.32,1688.99,1.0,0.6
3089,2026-06-17,Irak,Noruega,,,,,,,,,,,,,,,,,,1447.14,1550.94,0.7,1.0
3090,2026-06-17,Argentina,Argelia,,,,,,,,,,,,,,,,,,1874.81,1564.26,0.95,0.6
3091,2026-06-17,Austria,Jordania,,,,,,,,,,,,,,,,,,1593.45,1391.45,1.0,0.7
3092,2026-06-17,Portugal,RD Congo,,,,,,,,,,,,,,,,,,1763.83,1478.35,1.0,0.6
3093,2026-06-17,Inglaterra,Croacia,,,,,,,,,,,,,,,,,,1825.97,1717.07,1.0,1.0
3094,2026-06-18,República Checa,Sudáfrica,,,,,,,,,,,,,,,,,,1501.38,1429.73,1.0,0.6
3095,2026-06-18,Suiza,Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,1649.4,1385.84,1.0,1.0
3096,2026-06-18,Ghana,Panamá,,,,,,,,,,,,,,,,,,1346.31,1540.64,0.6,0.75
3097,2026-06-18,Uzbekistán,Colombia,,,,,,,,,,,,,,,,,,1465.34,1693.09,0.7,0.95
3098,2026-06-19,Canadá,Catar,,,,,,,,,,,,,,,,,,1556.48,1454.96,0.75,0.7
3099,2026-06-19,México,Corea del Sur,,,,,,,,,,,,,,,,,,1681.03,1588.66,0.75,0.7
3100,2026-06-19,EE. UU.,Australia,,,,,,,,,,,,,,,,,,1673.13,1580.67,0.75,0.7
3101,2026-06-20,Escocia,Marruecos,,,,,,,,,,,,,,,,,,1498.35,1755.87,1.0,0.6
3102,2026-06-20,Brasil,Haití,,,,,,,,,,,,,,,,,,1761.16,1291.71,0.95,0.75
3103,2026-06-20,Turquía,Paraguay,,,,,,,,,,,,,,,,,,1599.04,1503.5,1.0,0.95
3104,2026-06-20,Países Bajos,Suecia,,,,,,,,,,,,,,,,,,1757.87,1514.77,1.0,1.0
3105,2026-06-20,Alemania,Costa de Marfil,,,,,,,,,,,,,,,,,,1730.37,1532.98,1.0,0.6
3106,2026-06-21,Bélgica,Irán,,,,,,,,,,,,,,,,,,1734.71,1615.3,1.0,0.7
3107,2026-06-21,Ecuador,Curazao,,,,,,,,,,,,,,,,,,1594.78,1294.65,0.95,0.75
3108,2026-06-21,Túnez,Japón,,,,,,,,,,,,,,,,,,1483.05,1660.43,0.6,0.7
3109,2026-06-21,España,Arabia Saudí,,,,,,,,,,,,,,,,,,1876.4,1421.43,1.0,0.7
3110,2026-06-22,Francia,Irak,,,,,,,,,,,,,,,,,,1877.32,1447.14,1.0,0.7
3111,2026-06-22,Argentina,Austria,,,,,,,,,,,,,,,,,,1874.81,1593.45,0.95,1.0
3112,2026-06-22,Uruguay,Cabo Verde,,,,,,,,,,,,,,,,,,1673.07,1366.13,0.95,0.6
3113,2026-06-22,Nueva Zelanda,Egipto,,,,,,,,,,,,,,,,,,1281.57,1563.24,0.7,0.6
3114,2026-06-23,Noruega,Senegal,,,,,,,,,,,,,,,,,,1550.94,1688.99,1.0,0.6
3115,2026-06-23,Jordania,Argelia,,,,,,,,,,,,,,,,,,1391.45,1564.26,0.7,0.6
3116,2026-06-23,Portugal,Uzbekistán,,,,,,,,,,,,,,,,,,1763.83,1465.34,1.0,0.7
3117,2026-06-23,Inglaterra,Ghana,,,,,,,,,,,,,,,,,,1825.97,1346.31,1.0,0.6
3118,2026-06-24,Panamá,Croacia,,,,,,,,,,,,,,,,,,1540.64,1717.07,0.75,1.0
3119,2026-06-24,Colombia,RD Congo,,,,,,,,,,,,,,,,,,1693.09,1478.35,0.95,0.6
3120,2026-06-24,Bosnia-Herzegovina,Catar,,,,,,,,,,,,,,,,,,1385.84,1454.96,1.0,0.7
3121,2026-06-24,Suiza,Canadá,,,,,,,,,,,,,,,,,,1649.4,1556.48,1.0,0.75
3122,2026-06-25,Curazao,Costa de Marfil,,,,,,,,,,,,,,,,,,1294.65,1532.98,0.75,0.6
3123,2026-06-25,Ecuador,Alemania,,,,,,,,,,,,,,,,,,1594.78,1730.37,0.95,1.0
3124,2026-06-25,Sudáfrica,Corea del Sur,,,,,,,,,,,,,,,,,,1429.73,1588.66,0.6,0.7
3125,2026-06-25,Marruecos,Haití,,,,,,,,,,,,,,,,,,1755.87,1291.71,0.6,0.75
3126,2026-06-25,Escocia,Brasil,,,,,,,,,,,,,,,,,,1498.35,1761.16,1.0,0.95
3127,2026-06-25,República Checa,México,,,,,,,,,,,,,,,,,,1501.38,1681.03,1.0,0.75
3128,2026-06-26,Japón,Suecia,,,,,,,,,,,,,,,,,,1660.43,1514.77,0.7,1.0
3129,2026-06-26,Túnez,Países Bajos,,,,,,,,,,,,,,,,,,1483.05,1757.87,0.6,1.0
3130,2026-06-26,Paraguay,Australia,,,,,,,,,,,,,,,,,,1503.5,1580.67,0.95,0.7
3131,2026-06-26,Turquía,EE. UU.,,,,,,,,,,,,,,,,,,1599.04,1673.13,1.0,0.75
3132,2026-06-26,Noruega,Francia,,,,,,,,,,,,,,,,,,1550.94,1877.32,1.0,1.0
3133,2026-06-26,Senegal,Irak,,,,,,,,,,,,,,,,,,1688.99,1447.14,0.6,0.7
