País,Puntuación,Fecha
Francia,1877.32,01-04-2026
España,1876.4,01-04-2026
Argentina,1874.81,01-04-2026
Inglaterra,1825.97,01-04-2026
Portugal,1763.83,01-04-2026
Brasil,1761.16,01-04-2026
Países Bajos,1757.87,01-04-2026
Marruecos,1755.87,01-04-2026
Bélgica,1734.71,01-04-2026
Alemania,1730.37,01-04-2026
Croacia,1717.07,01-04-2026
Italia,1700.37,01-04-2026
Colombia,1693.09,01-04-2026
Senegal,1688.99,01-04-2026
México,1681.03,01-04-2026
EEUU,1673.13,01-04-2026
Uruguay,1673.07,01-04-2026
Japón,1660.43,01-04-2026
Suiza,1649.4,01-04-2026
Dinamarca,1620.81,01-04-2026
RI de Irán,1615.3,01-04-2026
Turquía,1599.04,01-04-2026
Ecuador,1594.78,01-04-2026
Austria,1593.45,01-04-2026
República de Corea,1588.66,01-04-2026
Nigeria,1585.09,01-04-2026
Australia,1580.67,01-04-2026
Argelia,1564.26,01-04-2026
Egipto,1563.24,01-04-2026
Canadá,1556.48,01-04-2026
Noruega,1550.94,01-04-2026
Ucrania,1546.88,01-04-2026
Panamá,1540.64,01-04-2026
Costa de Marfil,1532.98,01-04-2026
Polonia,1528.0,01-04-2026
Rusia,1525.6,01-04-2026
Gales,1524.29,01-04-2026
Suecia,1514.77,01-04-2026
Serbia,1508.65,01-04-2026
Paraguay,1503.5,01-04-2026
República Checa,1501.38,01-04-2026
Hungría,1500.58,01-04-2026
Escocia,1498.35,01-04-2026
Túnez,1483.05,01-04-2026
Camerún,1481.24,01-04-2026
RD del Congo,1478.35,01-04-2026
Grecia,1475.82,01-04-2026
Eslovaquia,1473.94,01-04-2026
Venezuela,1468.05,01-04-2026
Uzbekistán,1465.34,01-04-2026
Costa Rica,1459.9,01-04-2026
Mali,1459.13,01-04-2026
Perú,1455.87,01-04-2026
Chile,1455.28,01-04-2026
Qatar,1454.96,01-04-2026
Rumanía,1451.16,01-04-2026
Irak,1447.14,01-04-2026
Eslovenia,1446.44,01-04-2026
República de Irlanda,1436.63,01-04-2026
Sudáfrica,1429.73,01-04-2026
Arabia Saudí,1421.43,01-04-2026
Burkina Faso,1412.49,01-04-2026
Jordania,1391.45,01-04-2026
Albania,1388.06,01-04-2026
Bosnia y Herzegovina,1385.84,01-04-2026
Honduras,1380.27,01-04-2026
Macedonia del Norte,1372.04,01-04-2026
Emiratos Árabes Unidos,1370.47,01-04-2026
Cabo Verde,1366.13,01-04-2026
Irlanda del Norte,1362.16,01-04-2026
Jamaica,1358.0,01-04-2026
Georgia,1350.18,01-04-2026
Finlandia,1346.41,01-04-2026
Ghana,1346.31,01-04-2026
Islandia,1345.07,01-04-2026
Bolivia,1329.42,01-04-2026
Israel,1328.33,01-04-2026
Kosovo,1318.83,01-04-2026
Omán,1313.46,01-04-2026
Guinea,1300.01,01-04-2026
Montenegro,1295.52,01-04-2026
Curazao,1294.65,01-04-2026
Haití,1291.71,01-04-2026
Siria,1288.56,01-04-2026
Nueva Zelanda,1281.57,01-04-2026
Bulgaria,1278.9,01-04-2026
Gabón,1272.51,01-04-2026
Uganda,1264.09,01-04-2026
Angola,1263.1,01-04-2026
Benín,1258.98,01-04-2026
Baréin,1258.53,01-04-2026
Zambia,1255.82,01-04-2026
Tailandia,1252.14,01-04-2026
RP China,1251.6,01-04-2026
Palestina,1244.73,01-04-2026
Guatemala,1243.47,01-04-2026
Bielorrusia,1235.82,01-04-2026
Luxemburgo,1227.77,01-04-2026
Vietnam,1225.68,01-04-2026
El Salvador,1225.26,01-04-2026
Mozambique,1224.31,01-04-2026
Trinidad y Tobago,1222.94,01-04-2026
Tayikistán,1221.78,01-04-2026
Madagascar,1203.76,01-04-2026
Guinea Ecuatorial,1195.2,01-04-2026
Armenia,1191.42,01-04-2026
República Kirguisa,1191.14,01-04-2026
Líbano,1187.96,01-04-2026
Comoras,1187.91,01-04-2026
Kazajstán,1182.96,01-04-2026
Kenia,1182.23,01-04-2026
Libia,1182.08,01-04-2026
Tanzania,1180.27,01-04-2026
Níger,1179.66,01-04-2026
Mauritania,1170.72,01-04-2026
Gambia,1160.38,01-04-2026
Sudán,1157.22,01-04-2026
RDP de Corea,1151.05,01-04-2026
Sierra Leona,1148.98,01-04-2026
Namibia,1148.84,01-04-2026
Togo,1147.31,01-04-2026
Indonesia,1144.88,01-04-2026
Islas Feroe,1137.14,01-04-2026
Azerbaiyán,1136.67,01-04-2026
Surinam,1132.43,01-04-2026
Chipre,1128.33,01-04-2026
Malaui,1128.03,01-04-2026
Ruanda,1126.62,01-04-2026
Estonia,1121.1,01-04-2026
Zimbabue,1118.12,01-04-2026
Nicaragua,1115.13,01-04-2026
Guinea-Bissáu,1108.38,01-04-2026
Congo,1105.96,01-04-2026
