Equipo_Local,Equipo_Visitante,Goles_Local,Goles_Visitante
México,Sudáfrica,2,0
Corea del Sur,República Checa,2,1
Canadá,Bosnia-Herzegovina,1,1
EE. UU.,Paraguay,4,1
Costa de Marfil,Ecuador,1,0
Alemania,Curazao,7,1
Países Bajos,Japón,2,2
Suecia,Túnez,5,1
Arabia Saudí,Uruguay,1,1
España,Cabo Verde,0,0
Irán,Nueva Zelanda,2,2
Bélgica,Egipto,1,1
Francia,Senegal,3,1
Irak,Noruega,1,4
Argentina,Argelia,3,0
Austria,Jordania,3,1
República Checa,Sudáfrica,1,1
Suiza,Bosnia-Herzegovina,4,1
Canadá,Catar,6,0
México,Corea del Sur,1,0
EE. UU.,Australia,2,0
Escocia,Marruecos,0,1
Brasil,Haití,3,0
Turquía,Paraguay,0,1
Países Bajos,Suecia,5,1
Alemania,Costa de Marfil,2,1
Ecuador,Curazao,0,0
Túnez,Japón,0,4
España,Arabia Saudí,4,0
Bélgica,Irán,0,0
Uruguay,Cabo Verde,2,2
Nueva Zelanda,Egipto,1,3
Argentina,Austria,2,0
Catar,Suiza,1,1
Brasil,Marruecos,1,1
Portugal,RD Congo,1,1
Inglaterra,Croacia,4,2
Haití,Escocia,0,1
Australia,Turquía,2,0
Uzbekistán,Colombia,1,3
Ghana,Panamá,1,0
Francia,Irak,3,0
Noruega,Senegal,3,2
Jordania,Argelia,2,1
