Fecha,Equipo_Local,Equipo_Visitante,Prob_Local_Neutral,Prob_Empate_Neutral,Prob_Visitante_Neutral,Prob_Local_HostAware,Prob_Empate_HostAware,Prob_Visitante_HostAware,Prob_Local_Listed,Prob_Empate_Listed,Prob_Visitante_Listed,Delta_Local_pp,Delta_Visitante_pp,Sesgo_Local_Listed_vs_Neutral_pp,Anfitrion_Involucrado
2026-06-11,México,Sudáfrica,31.6,46.8,21.6,24.1,61.5,14.4,24.1,61.5,14.4,-7.5,-7.2,-7.5,True
2026-06-12,Corea del Sur,República Checa,50.3,29.8,19.9,50.3,29.8,19.9,61.1,29.0,9.9,0.0,0.0,10.8,False
2026-06-12,Canadá,Bosnia-Herzegovina,40.0,33.9,26.1,46.3,35.1,18.6,46.3,35.1,18.6,6.3,-7.5,6.3,True
2026-06-13,EE. UU.,Paraguay,62.4,23.3,14.3,67.4,24.2,8.4,67.4,24.2,8.4,5.0,-5.9,5.0,True
2026-06-13,Catar,Suiza,20.6,32.9,46.6,20.6,32.9,46.6,32.5,35.4,32.1,0.0,0.0,11.9,False
2026-06-14,Alemania,Curazao,72.8,19.7,7.5,72.8,19.7,7.5,78.5,16.4,5.1,0.0,0.0,5.7,False
2026-06-14,Australia,Turquía,21.9,24.4,53.7,21.9,24.4,53.7,26.1,28.5,45.4,0.0,0.0,4.2,False
2026-06-14,Países Bajos,Japón,26.7,38.8,34.5,26.7,38.8,34.5,35.8,43.0,21.2,0.0,0.0,9.1,False
2026-06-14,Brasil,Marruecos,47.7,30.5,21.8,47.7,30.5,21.8,62.8,23.0,14.2,0.0,0.0,15.1,False
2026-06-14,Haití,Escocia,18.6,29.7,51.7,18.6,29.7,51.7,29.3,41.2,29.5,0.0,0.0,10.7,False
2026-06-15,Bélgica,Egipto,61.6,26.5,11.9,61.6,26.5,11.9,76.2,17.3,6.5,0.0,0.0,14.6,False
2026-06-15,España,Cabo Verde,63.4,24.9,11.7,63.4,24.9,11.7,78.1,15.8,6.1,0.0,0.0,14.7,False
2026-06-15,Suecia,Túnez,40.6,29.1,30.4,40.6,29.1,30.4,44.0,32.1,23.9,0.0,0.0,3.4,False
2026-06-15,Costa de Marfil,Ecuador,51.9,30.9,17.2,51.9,30.9,17.2,51.4,27.7,20.9,0.0,0.0,-0.5,False
2026-06-16,Arabia Saudí,Uruguay,9.9,21.5,68.7,9.9,21.5,68.7,11.2,22.0,66.9,0.0,0.0,1.3,False
2026-06-16,Irán,Nueva Zelanda,63.6,25.6,10.8,63.6,25.6,10.8,72.2,17.6,10.2,0.0,0.0,8.6,False
2026-06-16,Francia,Senegal,37.4,40.6,21.9,37.4,40.6,21.9,50.0,35.0,15.0,0.0,0.0,12.6,False
2026-06-17,Irak,Noruega,18.1,23.8,58.0,18.1,23.8,58.0,29.7,28.5,41.7,0.0,0.0,11.6,False
2026-06-17,Argentina,Argelia,56.5,27.9,15.6,56.5,27.9,15.6,62.6,25.9,11.5,0.0,0.0,6.1,False
2026-06-17,Austria,Jordania,71.7,19.6,8.7,71.7,19.6,8.7,72.0,21.4,6.6,0.0,0.0,0.3,False
2026-06-17,Portugal,RD Congo,60.7,26.7,12.6,60.7,26.7,12.6,74.1,19.7,6.2,0.0,0.0,13.4,False
2026-06-17,Inglaterra,Croacia,36.3,40.2,23.5,36.3,40.2,23.5,49.3,34.7,16.0,0.0,0.0,13.0,False
2026-06-11,República Checa,Sudáfrica,27.8,38.8,33.5,27.8,38.8,33.5,31.5,48.5,20.0,0.0,0.0,3.7,False
2026-06-12,Suiza,Bosnia-Herzegovina,43.7,30.9,25.3,43.7,30.9,25.3,56.7,33.1,10.3,0.0,0.0,13.0,False
2026-06-18,Ghana,Panamá,30.1,32.0,38.0,30.1,32.0,38.0,35.8,27.7,36.5,0.0,0.0,5.7,False
2026-06-18,Uzbekistán,Colombia,13.3,26.8,59.9,13.3,26.8,59.9,18.3,32.1,49.6,0.0,0.0,5.0,False
2026-06-13,Canadá,Catar,32.5,33.3,34.3,29.1,32.3,38.7,29.1,32.3,38.7,-3.4,4.4,-3.4,True
2026-06-12,México,Corea del Sur,33.4,40.5,26.2,32.1,47.0,20.9,32.1,47.0,20.9,-1.3,-5.3,-1.3,True
2026-06-14,EE. UU.,Australia,54.2,27.1,18.7,55.6,30.2,14.2,55.6,30.2,14.2,1.4,-4.5,1.4,True
2026-06-14,Escocia,Marruecos,21.4,32.1,46.5,21.4,32.1,46.5,27.3,21.1,51.6,0.0,0.0,5.9,False
2026-06-14,Brasil,Haití,70.2,21.0,8.8,70.2,21.0,8.8,81.5,12.9,5.6,0.0,0.0,11.3,False
2026-06-13,Turquía,Paraguay,64.7,22.3,13.1,64.7,22.3,13.1,74.0,19.2,6.8,0.0,0.0,9.3,False
2026-06-15,Países Bajos,Suecia,59.1,24.8,16.2,59.1,24.8,16.2,69.4,19.4,11.1,0.0,0.0,10.3,False
2026-06-15,Alemania,Costa de Marfil,31.1,48.3,20.6,31.1,48.3,20.6,30.8,51.3,17.9,0.0,0.0,-0.3,False
2026-06-16,Bélgica,Irán,46.4,32.5,21.1,46.4,32.5,21.1,63.2,26.7,10.1,0.0,0.0,16.8,False
2026-06-14,Ecuador,Curazao,56.0,29.7,14.3,56.0,29.7,14.3,59.5,33.3,7.2,0.0,0.0,3.5,False
2026-06-14,Túnez,Japón,14.9,29.4,55.8,14.9,29.4,55.8,15.8,29.2,55.1,0.0,0.0,0.9,False
2026-06-16,España,Arabia Saudí,67.9,23.5,8.6,67.9,23.5,8.6,71.0,22.8,6.2,0.0,0.0,3.1,False
2026-06-17,Francia,Irak,73.4,19.4,7.1,73.4,19.4,7.1,81.2,14.0,4.8,0.0,0.0,7.8,False
2026-06-17,Argentina,Austria,45.7,33.8,20.5,45.7,33.8,20.5,54.7,33.3,11.9,0.0,0.0,9.0,False
2026-06-15,Uruguay,Cabo Verde,60.5,24.1,15.4,60.5,24.1,15.4,65.7,22.8,11.6,0.0,0.0,5.2,False
2026-06-15,Nueva Zelanda,Egipto,18.7,31.8,49.5,18.7,31.8,49.5,21.8,29.2,48.9,0.0,0.0,3.1,False
2026-06-16,Noruega,Senegal,18.8,30.0,51.2,18.8,30.0,51.2,24.5,26.2,49.3,0.0,0.0,5.7,False
2026-06-17,Jordania,Argelia,10.7,19.8,69.6,10.7,19.8,69.6,13.7,17.9,68.4,0.0,0.0,3.0,False
2026-06-18,Portugal,Uzbekistán,62.5,26.1,11.4,62.5,26.1,11.4,67.7,24.8,7.4,0.0,0.0,5.2,False
2026-06-18,Inglaterra,Ghana,73.7,18.4,7.9,73.7,18.4,7.9,79.2,14.3,6.5,0.0,0.0,5.5,False
2026-06-17,Panamá,Croacia,14.6,24.4,61.0,14.6,24.4,61.0,24.5,27.2,48.3,0.0,0.0,9.9,False
2026-06-17,Colombia,RD Congo,49.7,30.6,19.7,49.7,30.6,19.7,67.4,20.6,12.0,0.0,0.0,17.7,False
2026-06-13,Bosnia-Herzegovina,Catar,28.9,33.5,37.6,28.9,33.5,37.6,41.7,29.4,28.9,0.0,0.0,12.8,False
2026-06-12,Suiza,Canadá,44.6,35.0,20.3,37.8,32.1,30.1,51.1,37.7,11.2,-6.8,9.8,6.5,True
2026-06-15,Curazao,Costa de Marfil,10.6,29.0,60.4,10.6,29.0,60.4,14.3,26.5,59.2,0.0,0.0,3.7,False
2026-06-14,Ecuador,Alemania,12.9,34.2,52.9,12.9,34.2,52.9,16.5,41.3,42.2,0.0,0.0,3.6,False
2026-06-12,Sudáfrica,Corea del Sur,21.3,47.8,30.9,21.3,47.8,30.9,30.1,35.8,34.1,0.0,0.0,8.8,False
2026-06-14,Marruecos,Haití,66.1,22.3,11.6,66.1,22.3,11.6,71.0,20.7,8.3,0.0,0.0,4.9,False
2026-06-14,Escocia,Brasil,10.9,24.6,64.6,10.9,24.6,64.6,13.3,24.2,62.6,0.0,0.0,2.4,False
2026-06-11,República Checa,México,15.4,25.1,59.5,10.2,24.7,65.1,21.0,25.4,53.7,-5.2,5.6,5.6,True
2026-06-15,Japón,Suecia,55.8,27.2,17.0,55.8,27.2,17.0,60.2,26.8,12.9,0.0,0.0,4.4,False
2026-06-14,Túnez,Países Bajos,17.1,26.7,56.1,17.1,26.7,56.1,22.1,33.1,44.8,0.0,0.0,5.0,False
2026-06-14,Paraguay,Australia,16.5,24.4,59.1,16.5,24.4,59.1,22.7,23.5,53.9,0.0,0.0,6.2,False
2026-06-13,Turquía,EE. UU.,33.7,32.5,33.8,19.6,43.6,36.7,48.1,21.5,30.4,-14.1,2.9,14.4,True
2026-06-16,Noruega,Francia,8.7,24.9,66.4,8.7,24.9,66.4,9.5,26.6,63.9,0.0,0.0,0.8,False
2026-06-17,Senegal,Irak,67.2,22.5,10.3,67.2,22.5,10.3,73.8,19.7,6.5,0.0,0.0,6.6,False
2026-06-18,Croacia,Ghana,70.6,21.1,8.3,70.6,21.1,8.3,73.9,18.9,7.1,0.0,0.0,3.3,False
2026-06-15,Nueva Zelanda,Bélgica,9.5,21.8,68.7,9.5,21.8,68.7,13.1,31.3,55.7,0.0,0.0,3.6,False
2026-06-17,Panamá,Inglaterra,11.9,27.8,60.3,11.9,27.8,60.3,19.0,35.3,45.7,0.0,0.0,7.1,False
2026-06-15,Uruguay,España,19.0,30.9,50.2,19.0,30.9,50.2,27.5,33.6,39.0,0.0,0.0,8.5,False
2026-06-16,Cabo Verde,Arabia Saudí,32.4,33.5,34.1,32.4,33.5,34.1,40.3,30.1,29.6,0.0,0.0,7.9,False
2026-06-16,Egipto,Irán,15.6,35.4,49.0,15.6,35.4,49.0,17.5,41.8,40.7,0.0,0.0,1.9,False
2026-06-18,RD Congo,Uzbekistán,45.8,32.0,22.2,45.8,32.0,22.2,43.1,39.9,17.1,0.0,0.0,-2.7,False
2026-06-17,Argelia,Austria,30.1,28.9,41.0,30.1,28.9,41.0,34.8,25.5,39.6,0.0,0.0,4.7,False
2026-06-17,Colombia,Portugal,20.6,34.6,44.7,20.6,34.6,44.7,31.7,34.4,33.9,0.0,0.0,11.1,False
2026-06-17,Jordania,Argentina,6.0,15.6,78.4,6.0,15.6,78.4,7.4,16.3,76.3,0.0,0.0,1.4,False
