Fase,Fechas,Local,Visitante,Marcador_Predicho,Avanza,xG_L,xG_V,Prob_1,Prob_X,Prob_2,Detalle
Dieciseisavos,28 jun - 3 jul,Alemania,Egipto,2-0,Alemania,1.71,0.75,57.9,31.0,11.1,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Francia,RD Congo,2-0,Francia,2.07,0.56,70.1,21.5,8.4,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Corea del Sur,Canadá,1-0,Corea del Sur,1.27,0.95,44.5,36.0,19.4,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Países Bajos,Marruecos,1-0,Países Bajos,1.55,0.99,54.3,26.3,19.4,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Colombia,Croacia,1-2,Croacia,1.2,1.81,15.0,31.7,53.3,Tiempo regular
Dieciseisavos,28 jun - 3 jul,España,Austria,2-1,España,1.87,1.08,48.5,31.2,20.3,Tiempo regular
Dieciseisavos,28 jun - 3 jul,EE. UU.,Catar,2-0,EE. UU.,1.66,0.91,41.9,32.0,26.1,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Bélgica,Noruega,2-1,Bélgica,1.93,1.14,50.1,30.9,19.1,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Brasil,Japón,1-1 (pen),Brasil,1.39,1.01,33.7,43.3,23.0,Empate; gana en penaltis
Dieciseisavos,28 jun - 3 jul,Costa de Marfil,Senegal,1-1 (pen),Senegal,0.86,1.19,27.3,37.6,35.2,Empate; gana en penaltis
Dieciseisavos,28 jun - 3 jul,México,Suecia,2-1,México,1.44,1.38,55.6,28.0,16.4,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Inglaterra,Escocia,2-1,Inglaterra,2.24,1.01,61.8,26.2,12.0,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Argentina,Arabia Saudí,3-0,Argentina,2.39,0.41,75.7,17.4,6.9,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Australia,Irán,0-1,Irán,0.91,1.39,15.6,29.5,54.9,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Suiza,Ghana,1-0,Suiza,1.56,0.96,51.9,31.7,16.5,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Portugal,Argelia,2-1,Portugal,1.65,1.07,48.2,29.8,22.1,Tiempo regular
Octavos,4 - 7 jul,Alemania,Francia,1-1 (pen),Francia,1.46,1.61,24.8,47.3,27.9,Empate; gana en penaltis
Octavos,4 - 7 jul,Corea del Sur,Países Bajos,0-1,Países Bajos,0.97,1.56,24.2,37.3,38.5,Tiempo regular
Octavos,4 - 7 jul,Croacia,España,1-2,España,1.26,1.57,20.8,38.3,41.0,Tiempo regular
Octavos,4 - 7 jul,EE. UU.,Bélgica,0-2,Bélgica,0.91,1.91,14.5,28.0,57.5,Tiempo regular
Octavos,4 - 7 jul,Brasil,Senegal,1-1 (pen),Brasil,1.21,1.25,28.8,43.4,27.8,Empate; gana en penaltis
Octavos,4 - 7 jul,México,Inglaterra,0-2,Inglaterra,0.92,1.94,20.0,32.4,47.5,Tiempo regular
Octavos,4 - 7 jul,Argentina,Irán,1-0,Argentina,1.57,0.87,42.4,39.9,17.6,Tiempo regular
Octavos,4 - 7 jul,Suiza,Portugal,1-2,Portugal,1.46,2.06,16.9,37.3,45.8,Tiempo regular
Cuartos,9 - 11 jul,Francia,Países Bajos,2-1,Francia,1.67,1.15,52.3,32.2,15.5,Tiempo regular
Cuartos,9 - 11 jul,España,Bélgica,2-1,España,1.51,1.29,36.1,34.9,29.0,Tiempo regular
Cuartos,9 - 11 jul,Brasil,Inglaterra,1-2,Inglaterra,1.21,1.76,23.8,37.0,39.2,Tiempo regular
Cuartos,9 - 11 jul,Argentina,Portugal,1-1 (pen),Argentina,1.44,1.57,35.9,43.9,20.2,Empate; gana en penaltis
Semifinales,14 - 15 jul,Francia,España,1-1 (pen),Francia,1.31,1.31,29.4,43.5,27.2,Empate; gana en penaltis
Semifinales,14 - 15 jul,Inglaterra,Argentina,1-1 (pen),Argentina,1.33,1.19,25.0,44.3,30.7,Empate; gana en penaltis
3er Puesto,18 jul,España,Inglaterra,1-1 (pen),España,1.41,1.35,36.9,39.4,23.7,Empate; gana en penaltis
Final,19 jul,Francia,Argentina,1-1 (pen),Francia,1.42,1.07,32.1,46.4,21.6,Empate; gana en penaltis
