Fecha,Grupo,Local,Visitante,Marcador_Predicho,Estado,Resultado_1X2,Marcador_Modelo_Previo,Resultado_1X2_Modelo_Previo,xG_L,xG_V,xG_L_Modelo_Previo,xG_V_Modelo_Previo,Prob_1,Prob_X,Prob_2,Prob_1_Modelo_Previo,Prob_X_Modelo_Previo,Prob_2_Modelo_Previo
2026-06-11,A,México,Sudáfrica,2-0,Jugado,1,1-1,X,2.0,0.0,1.43,0.91,100.0,0.0,0.0,24.1,61.5,14.4
2026-06-12,A,Corea del Sur,República Checa,2-1,Jugado,1,2-1,1,2.0,1.0,1.39,1.22,100.0,0.0,0.0,50.3,29.8,19.9
2026-06-12,B,Canadá,Bosnia-Herzegovina,1-1,Jugado,X,2-0,1,1.0,1.0,1.82,0.84,0.0,100.0,0.0,46.3,35.1,18.6
2026-06-13,D,EE. UU.,Paraguay,4-1,Jugado,1,2-0,1,4.0,1.0,1.77,0.57,100.0,0.0,0.0,67.4,24.2,8.4
2026-06-13,B,Catar,Suiza,1-1,Jugado,X,1-2,2,1.0,1.0,1.06,2.19,0.0,100.0,0.0,20.6,32.9,46.6
2026-06-14,F,Países Bajos,Japón,2-2,Jugado,X,1-1,X,2.0,2.0,1.3,0.97,0.0,100.0,0.0,26.7,38.8,34.5
2026-06-14,C,Haití,Escocia,0-1,Jugado,2,0-2,2,0.0,1.0,0.88,2.36,0.0,0.0,100.0,18.6,29.7,51.7
2026-06-14,C,Brasil,Marruecos,1-1,Jugado,X,2-1,1,1.0,1.0,1.61,1.05,0.0,100.0,0.0,47.7,30.5,21.8
2026-06-14,D,Australia,Turquía,2-0,Jugado,1,1-2,2,2.0,0.0,1.13,1.54,100.0,0.0,0.0,21.9,24.4,53.7
2026-06-14,E,Alemania,Curazao,7-1,Jugado,1,3-0,1,7.0,1.0,2.71,0.51,100.0,0.0,0.0,72.8,19.7,7.5
2026-06-15,H,España,Cabo Verde,0-0,Jugado,X,2-0,1,0.0,0.0,1.79,0.55,0.0,100.0,0.0,63.4,24.9,11.7
2026-06-15,F,Suecia,Túnez,5-1,Jugado,1,2-1,1,5.0,1.0,1.47,1.14,100.0,0.0,0.0,40.6,29.1,30.4
2026-06-15,E,Costa de Marfil,Ecuador,1-0,Jugado,1,1-0,1,1.0,0.0,1.21,0.77,100.0,0.0,0.0,51.9,30.9,17.2
2026-06-15,G,Bélgica,Egipto,1-1,Jugado,X,2-0,1,1.0,1.0,1.55,0.76,0.0,100.0,0.0,61.6,26.5,11.9
2026-06-16,H,Arabia Saudí,Uruguay,1-1,Jugado,X,0-2,2,1.0,1.0,0.64,1.92,0.0,100.0,0.0,9.9,21.5,68.7
2026-06-16,I,Francia,Senegal,3-1,Jugado,1,1-1,X,3.0,1.0,1.3,0.96,100.0,0.0,0.0,37.4,40.6,21.9
2026-06-16,G,Irán,Nueva Zelanda,2-2,Jugado,X,2-0,1,2.0,2.0,1.66,0.91,0.0,100.0,0.0,63.6,25.6,10.8
2026-06-17,L,Inglaterra,Croacia,4-2,Jugado,1,1-1,X,4.0,2.0,1.62,1.26,100.0,0.0,0.0,36.3,40.2,23.5
2026-06-17,K,Portugal,RD Congo,1-1,Jugado,X,2-0,1,1.0,1.0,1.78,0.68,0.0,100.0,0.0,60.7,26.7,12.6
2026-06-17,J,Argentina,Argelia,3-0,Jugado,1,1-0,1,3.0,0.0,1.47,0.82,100.0,0.0,0.0,56.5,27.9,15.6
2026-06-17,I,Irak,Noruega,1-4,Jugado,2,0-2,2,1.0,4.0,0.78,2.01,0.0,0.0,100.0,18.1,23.8,58.0
2026-06-17,J,Austria,Jordania,3-1,Jugado,1,3-0,1,3.0,1.0,2.24,0.71,100.0,0.0,0.0,71.7,19.6,8.7
2026-06-18,A,República Checa,Sudáfrica,1-1,Jugado,X,1-1,X,1.0,1.0,1.1,1.13,0.0,100.0,0.0,27.8,38.8,33.5
2026-06-18,K,Uzbekistán,Colombia,1-3,Jugado,2,0-2,2,1.0,3.0,0.84,2.0,0.0,0.0,100.0,13.3,26.8,59.9
2026-06-18,B,Suiza,Bosnia-Herzegovina,4-1,Jugado,1,2-1,1,4.0,1.0,2.31,1.26,100.0,0.0,0.0,43.7,30.9,25.3
2026-06-18,L,Ghana,Panamá,1-0,Jugado,1,0-1,2,1.0,0.0,1.2,1.07,100.0,0.0,0.0,30.1,32.0,38.0
2026-06-19,D,EE. UU.,Australia,2-0,Jugado,1,1-0,1,2.0,0.0,1.31,0.66,100.0,0.0,0.0,55.6,30.2,14.2
2026-06-19,A,México,Corea del Sur,1-0,Jugado,1,1-1,X,1.0,0.0,1.35,1.02,100.0,0.0,0.0,32.1,47.0,20.9
2026-06-19,B,Canadá,Catar,6-0,Jugado,1,0-1,2,6.0,0.0,1.35,0.53,100.0,0.0,0.0,29.1,32.3,38.7
